,IR,Inverse_Filtering_Similarity_Melody,Inverse_Filtering_Correlation_Melody,Weiner_Similarity_Melody,Weiner_Correlation_Melody,ACDW_Similarity_Melody,ACDW_Correlation_Melody,Inverse_Filtering_Similarity_Chords,Inverse_Filtering_Correlation_Chords,Weiner_Similarity_Chords,Weiner_Correlation_Chords,ACDW_Similarity_Chords,ACDW_Correlation_Chords
25,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_piezo,1.315408927788709e-06,,1.3073044916215882e-06,,1.5583044785031072e-06,,1.533605803631663e-06,,1.5189279356982908e-06,,2.368056197091092e-06,
26,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,3.1465439122558975e-06,,3.3625737059738296e-06,,5.748043506841327e-06,,3.869455641812507e-06,,4.178323442791163e-06,,3.242154960789607e-06,
27,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_piezo,1.941756720520988e-06,,1.8215695269230159e-06,,2.6109754392409796e-06,,2.2761504882307274e-06,,2.1671190690748083e-06,,2.7713939690883878e-06,
28,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,4.046188187821324e-06,,2.7101917853704673e-06,,3.1382781425857853e-06,,3.7895227049414526e-06,,2.6739592561184315e-06,,4.283575522243724e-06,
29,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_piezo,1.3364472655104948e-06,,1.292263491073604e-06,,1.486625057189066e-06,,1.466825063471089e-06,,1.4675853112485018e-06,,1.940665070230051e-06,
30,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,2.2297077924904477e-06,,2.2950793645782054e-06,,7.693198403605969e-06,,4.198321087737004e-06,,2.7948713369610397e-06,,4.8973495685236975e-06,
31,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_piezo,1.7024045720765956e-06,,1.5641198761132874e-06,,2.4953205653217565e-06,,2.2973095476928975e-06,,1.9904144477790044e-06,,3.05009544403624e-06,
32,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,7.252962275359463e-06,,4.893313076867559e-06,,3.438660451869223e-06,,2.165117538079426e-06,,2.923035362612223e-06,,3.107722530591031e-06,
33,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_piezo,1.26587557339679e-06,,1.2597614594614983e-06,,1.3484598221880564e-06,,1.519007061567036e-06,,1.4634075851175204e-06,,1.8020107936953217e-06,
34,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,3.7118554152410174e-06,,3.942218706030118e-06,,7.000231376453408e-06,,2.3945408966424836e-06,,3.4511197092328685e-06,,2.762159703888714e-06,
35,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_piezo,2.093922704658283e-06,,1.946822117278225e-06,,3.122597062916761e-06,,2.0747069876303465e-06,,2.219312213467484e-06,,3.196832114888782e-06,
36,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,2.230348178142985e-06,,2.7384244106712267e-06,,2.7521786478981834e-06,,3.972036277383193e-06,,3.6851981675332467e-06,,3.5642360052296537e-06,
37,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_piezo,1.7525215364969118e-06,,1.9401236270526246e-06,,2.1201162591540647e-06,,1.693941633143345e-06,,1.948179639927671e-06,,1.9325863000231047e-06,
38,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,2.3910154744002757e-06,,3.1269204303476455e-06,,4.464972235776e-06,,2.7994009181698335e-06,,3.9057373202889505e-06,,2.6010213916956626e-06,
39,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_piezo,2.030089851027572e-06,,1.7912375415550012e-06,,2.763543169460418e-06,,1.8457822549111965e-06,,1.6794529724580098e-06,,2.0060973206184266e-06,
40,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,4.2829406421877965e-06,,3.6483862469003985e-06,,3.227318803353087e-06,,2.625684567744089e-06,,2.3007486267361337e-06,,3.149047710658469e-06,
41,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_piezo,2.0442127183853145e-06,,2.6851126643466894e-06,,2.1661497808647525e-06,,1.6693391328224986e-06,,1.734668143140686e-06,,1.6573815000136203e-06,
42,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,3.2467428952077438e-06,,2.5008762441515044e-06,,6.4187162291929486e-06,,2.5146672952471107e-06,,2.860335165308619e-06,,3.2940833841481493e-06,
43,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_piezo,2.393237328024462e-06,,2.5479056470571667e-06,,2.8475047911503843e-06,,3.79173290390274e-06,,2.649740062712657e-06,,1.992804160905304e-06,
44,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,2.92408152894066e-06,,2.1584021799460764e-06,,3.295704206812936e-06,,2.785946678224896e-06,,2.973715442075375e-06,,3.4670826622898795e-06,
45,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_piezo,2.1271255736504403e-06,,1.289708850077374e-06,,1.971840469430206e-06,,2.156615025119e-06,,1.511282588437012e-06,,1.8826439742358172e-06,
46,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,3.6365428356367874e-06,,3.965317743830541e-06,,5.327074714354258e-06,,1.7506796514176559e-06,,2.573777863471279e-06,,5.037934477417061e-06,
47,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_piezo,3.1412608885445324e-06,,2.0301036881578866e-06,,2.7483449966090063e-06,,2.088200105005256e-06,,2.2862273122778613e-06,,1.895625524892463e-06,
48,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,3.4519575520100406e-06,,2.5804897546014057e-06,,4.027775913992322e-06,,3.3692767957490552e-06,,4.696728189849632e-06,,3.191682126255488e-06,
49,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_piezo,1.3173543379727745e-06,,1.3904129121341002e-06,,1.8368656959098367e-06,,1.4678668656261824e-06,,1.4879038168299037e-06,,2.414979188893712e-06,
50,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,1.7287450873905254e-06,,1.992488310809776e-06,,4.942165114046379e-06,,3.1561080196686848e-06,,3.72020188054165e-06,,2.4980902950076215e-06,
51,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_piezo,1.340061244160477e-06,,2.371253839498206e-06,,3.588434142936716e-06,,1.1234363027272492e-06,,1.8480481693040893e-06,,1.2332994391191346e-06,
52,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,2.243440568997159e-06,,2.7969535390036607e-06,,3.4725434627007433e-06,,2.0034452391806353e-06,,3.861476247506401e-06,,2.8805042116842374e-06,
53,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_piezo,1.4096326217571035e-06,,1.4195696230274089e-06,,2.0554679508543437e-06,,1.719184333179378e-06,,1.7522667751869806e-06,,2.7260315309201777e-06,
54,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,2.7090108123230864e-06,,2.65701814480063e-06,,5.37459137470147e-06,,2.6018775213638677e-06,,2.3450367305805124e-06,,3.9493324421992105e-06,
55,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_piezo,2.116732842891553e-06,,1.7068457090442814e-06,,2.782508301794075e-06,,1.8229960078816776e-06,,1.7991362298916674e-06,,2.6733185004084876e-06,
56,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,3.7808062662697164e-06,,2.9337495295095487e-06,,6.046131802358307e-06,,2.8727198982458306e-06,,3.0308815522033977e-06,,2.808788948262622e-06,
57,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_piezo,1.2931744247197888e-06,,1.316273603343018e-06,,1.351025950703612e-06,,1.5328530432734047e-06,,1.598118310980405e-06,,1.5550261126733448e-06,
58,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,1.8071106655940698e-06,,1.932638168194764e-06,,8.791169997011576e-06,,2.33101066442497e-06,,2.273590614343529e-06,,3.032565481326919e-06,
59,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_piezo,1.969733231100185e-06,,2.2334274079135742e-06,,4.492363900384366e-06,,1.557678878751655e-06,,2.439924098562154e-06,,2.3343275787722363e-06,
60,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,3.5804811274005895e-06,,3.1387250405214533e-06,,5.9423583279516205e-06,,2.3253356402343203e-06,,2.0870137695040362e-06,,3.4041240351432377e-06,
61,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_piezo,2.5568437904103634e-06,,2.6185261725990586e-06,,2.0156023411490686e-06,,1.6389730000462207e-06,,2.323788097336202e-06,,1.7791221709023292e-06,
62,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,3.8056055275126687e-06,,5.098839630117602e-06,,7.367696945644222e-06,,2.526075021238999e-06,,2.324394170301581e-06,,3.690334222808713e-06,
63,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_piezo,2.8006844677998344e-06,,1.8683444886593825e-06,,2.7626041961512394e-06,,2.3084813452848584e-06,,1.999042952637323e-06,,1.9423325657001717e-06,
64,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,5.731502813148377e-06,,4.697472900911913e-06,,4.7518736026451155e-06,,2.396460639981719e-06,,2.3167358165933064e-06,,2.47070875956058e-06,
65,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_piezo,2.2716516976114445e-06,,2.4774997414986396e-06,,2.1433653481915884e-06,,1.7524926469408924e-06,,2.3764391142181597e-06,,1.8594378157211539e-06,
66,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,2.4283314429517135e-06,,2.592205036091304e-06,,8.701349089331034e-06,,2.863613248233571e-06,,2.990776552098806e-06,,4.346135162182882e-06,
67,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_piezo,1.9845085457119814e-06,,2.674214304822246e-06,,2.81221623376495e-06,,1.7073746153797269e-06,,1.7950972183189984e-06,,1.9959101063465574e-06,
68,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,5.125858634470259e-06,,3.616219054175899e-06,,9.590793210169937e-06,,2.2602748057419477e-06,,2.3428864039503074e-06,,2.824387520782772e-06,
69,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_piezo,2.0117319014424415e-06,,1.5490764738530975e-06,,1.9777065292055177e-06,,1.577623485552029e-06,,1.8143394293889608e-06,,1.9075664576952132e-06,
70,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,3.3249904792305393e-06,,3.586759064907507e-06,,5.10606468007937e-06,,2.349132793780143e-06,,2.3698980356838903e-06,,3.192723175221916e-06,
71,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_piezo,1.6302527165674889e-06,,1.9493745870045957e-06,,2.993401550728953e-06,,1.5681418940571891e-06,,2.081742086423552e-06,,2.0880654789601833e-06,
72,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,2.7984910644622083e-06,,2.963595355765658e-06,,2.8424929802106806e-06,,3.765563011437397e-06,,3.832573244877162e-06,,3.6119712036882165e-06,
73,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_piezo,1.292871138281918e-06,,1.3060128669646248e-06,,1.5634339357829971e-06,,1.4890913479657996e-06,,1.507489414156263e-06,,2.3244651977793726e-06,
74,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,3.1440828552384837e-06,,3.6813890588854877e-06,,5.139065830319829e-06,,3.045513691877923e-06,,3.2904034512026753e-06,,2.1557016327823734e-06,
75,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_piezo,1.6316851177152728e-06,,1.9000499684106854e-06,,1.7849195920275046e-06,,1.527535626955004e-06,,2.481046527134109e-06,,1.8180779049900224e-06,
76,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,3.851493087215205e-06,,2.918514324545676e-06,,3.3234406468194977e-06,,3.3974603812014005e-06,,2.757624972541682e-06,,3.3059092917185447e-06,
77,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_piezo,1.275402379265919e-06,,1.2803671870058953e-06,,1.4202979958783198e-06,,1.4808160089985336e-06,,1.4740540607878838e-06,,1.988708992284624e-06,
78,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,3.936480883874977e-06,,3.2242413128340394e-06,,6.148599130119893e-06,,3.359260243121477e-06,,3.176641154072381e-06,,2.5293493216236396e-06,
79,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_piezo,1.777999030206199e-06,,1.8253891900231258e-06,,1.8285007874536856e-06,,1.747127259949026e-06,,2.2358876872035276e-06,,1.8844359414137103e-06,
80,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,4.86901480514879e-06,,3.485997313113717e-06,,3.3978429452731357e-06,,1.9498316835267277e-06,,2.8815798017890416e-06,,3.267975862692224e-06,
81,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_piezo,1.31271357872844e-06,,1.3534919099674597e-06,,1.455155578723735e-06,,1.718445385698793e-06,,1.5824410348071024e-06,,2.050246001648705e-06,
82,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,3.1012535935484834e-06,,3.326255591529177e-06,,5.047976079097335e-06,,2.5334563541457983e-06,,4.192872479520127e-06,,2.876181067501488e-06,
83,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_piezo,1.919184567151685e-06,,1.703495825307252e-06,,2.045074432113245e-06,,1.8662258185297485e-06,,2.070419604478122e-06,,2.1755049681213527e-06,
84,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,2.5113437422382103e-06,,2.9645155376209926e-06,,3.1485559519712874e-06,,3.5310387683212573e-06,,2.8750376927381625e-06,,2.9779799598333664e-06,
85,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_piezo,1.7668825119298975e-06,,1.8971497256879236e-06,,2.2134998572061232e-06,,1.8135767453623684e-06,,1.908215231962955e-06,,1.8915412255828552e-06,
86,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,4.3450735254254635e-06,,2.8247923010256507e-06,,7.899287658027716e-06,,2.948500511751054e-06,,3.188285335266588e-06,,3.2555641537565488e-06,
87,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_piezo,2.0913789652264986e-06,,1.8154650518777953e-06,,2.7456099982089284e-06,,2.1009321470629277e-06,,1.8109754165682148e-06,,1.994031435885575e-06,
88,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,3.262179178147022e-06,,2.782170152674864e-06,,3.1621120863404994e-06,,2.8630996267284037e-06,,2.664455437154004e-06,,3.1708175623166672e-06,
89,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_piezo,1.7318007350640064e-06,,1.3806248247387586e-06,,2.1781483314003006e-06,,1.7252791521317102e-06,,1.691028870317536e-06,,1.6750622891854597e-06,
90,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,3.4044983116881542e-06,,2.3023481746241473e-06,,5.531956306088035e-06,,2.6875231509131066e-06,,3.063428341116581e-06,,2.9518235877830806e-06,
91,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_piezo,2.3067655532345057e-06,,2.4408359305471914e-06,,2.8455389825983316e-06,,4.0465549749640004e-06,,2.6816504165711994e-06,,2.026066142550582e-06,
92,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,2.7848063244050906e-06,,2.43652257428034e-06,,3.392057613910982e-06,,2.6996471511616215e-06,,2.87972385944466e-06,,3.2550793371551136e-06,
93,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_piezo,1.4409245676461831e-06,,1.1942273774535335e-06,,1.9319444553875172e-06,,1.482568219583209e-06,,1.423749378848601e-06,,1.930445769564243e-06,
94,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,3.6968230774323808e-06,,3.4362520506471166e-06,,5.772747786823128e-06,,2.429176299528936e-06,,2.9378002663963856e-06,,5.281591788934064e-06,
95,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_piezo,2.1093003381855193e-06,,2.104740143527673e-06,,2.738996786905925e-06,,1.9310264081844646e-06,,1.617170621626741e-06,,1.8954812564006102e-06,
96,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,2.8711906485807826e-06,,2.088720003509658e-06,,5.472907770912462e-06,,2.8151704653835857e-06,,2.4112524894414355e-06,,2.709295174423349e-06,
97,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_piezo,1.3272200489123532e-06,,1.327364936374243e-06,,2.3109976725975686e-06,,1.576792312843623e-06,,1.5832480030483301e-06,,2.0924955009942096e-06,
98,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,3.296654862558025e-06,,2.1707261222355644e-06,,7.773563727688741e-06,,3.109919177708299e-06,,2.475777824030469e-06,,4.533481326492924e-06,
99,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_piezo,4.352847268166137e-06,,2.8180405823956495e-06,,2.973476624975969e-06,,1.8206446256930614e-06,,2.1447088028414403e-06,,1.976136861367647e-06,
100,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,2.160458189880542e-06,,1.9068656117682502e-06,,3.288237101791365e-06,,1.8188086211293137e-06,,1.878590354185557e-06,,3.0299643868616667e-06,
101,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_piezo,1.2858836758511584e-06,,1.377051228510745e-06,,1.8635213438303757e-06,,1.6975968126343726e-06,,1.7858385807591335e-06,,2.712439868549975e-06,
102,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,2.404032881003736e-06,,2.0494409760973014e-06,,8.732138542704375e-06,,2.1509008826235218e-06,,2.7164097217723682e-06,,3.778486377112326e-06,
103,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_piezo,1.8634272712493135e-06,,2.4569047904943593e-06,,3.2889484130829615e-06,,2.040666229559845e-06,,2.575536372647729e-06,,2.12682599719041e-06,
104,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,2.0272175112223618e-06,,2.218671575345843e-06,,3.7866509925689717e-06,,3.604947919281981e-06,,3.0856034335610507e-06,,2.8136637289925617e-06,
105,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_piezo,1.3433042057482412e-06,,1.3272460038837055e-06,,1.7308023470811925e-06,,1.625147475267687e-06,,1.5793612036498145e-06,,2.3375263178670468e-06,
106,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,3.614760574876803e-06,,2.0376083980585503e-06,,8.683550660730643e-06,,2.2337122149744127e-06,,3.488789604418142e-06,,2.869603536584915e-06,
107,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_piezo,1.7217659897980502e-06,,2.4473115774968e-06,,4.0102702478376424e-06,,1.7213309305542934e-06,,2.2851203799881163e-06,,2.5569020938753343e-06,
108,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,2.721850430809032e-06,,2.7857290281175505e-06,,7.382404663270938e-06,,3.798886603868894e-06,,3.6696010717196614e-06,,2.9575261372592864e-06,
109,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_piezo,2.1857992837637132e-06,,2.1599274794671684e-06,,2.0074314069371245e-06,,1.9622418679227547e-06,,2.5567889748197884e-06,,1.86130141566349e-06,
110,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,2.6837284380837816e-06,,2.964846700376337e-06,,7.92018181247042e-06,,3.1219345227897077e-06,,3.0773572424230583e-06,,3.8741642303361155e-06,
111,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_piezo,3.1176890963443084e-06,,1.7889574195915159e-06,,2.8833466003572942e-06,,1.9904952830639503e-06,,2.2162433975563535e-06,,2.0685699566306968e-06,
112,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,2.1329232545092106e-06,,2.0092823085401806e-06,,3.790737101222614e-06,,3.3914242291755852e-06,,3.9109720019537115e-06,,2.8681379988420178e-06,
113,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_piezo,2.2306912769423693e-06,,2.1271529653721525e-06,,2.184319706288375e-06,,1.9963194990007013e-06,,2.8468496447888834e-06,,1.9404788215276317e-06,
114,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,5.343294940252883e-06,,2.0717238622611347e-06,,7.872771169446245e-06,,3.380026685586933e-06,,2.9176513733215504e-06,,4.062850070491778e-06,
115,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_piezo,2.4107552826346124e-06,,1.8862030707137127e-06,,3.092270610206083e-06,,2.3583059477096616e-06,,2.273385123854187e-06,,2.026292241912248e-06,
116,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,5.3731515190759844e-06,,2.5495787864832107e-06,,4.604180983993797e-06,,1.727731159505943e-06,,2.696810751910012e-06,,2.8469083666322867e-06,
117,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_piezo,2.4021264927771555e-06,,2.0154887166065236e-06,,1.939067132098668e-06,,2.3486294102277536e-06,,2.516858963807776e-06,,1.897358706986286e-06,
118,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_mic,3.1459546919840436e-06,,2.27116202046645e-06,,5.557416833634154e-06,,4.011029567160993e-06,,3.92548405038057e-06,,4.319095032125507e-06,
119,Bird_Aspen_DH37_piezo_to_good_takamine_EG523SC_piezo,1.5427583815914232e-06,,1.908991239196961e-06,,3.180360040038659e-06,,1.9228509866099528e-06,,2.793717132118187e-06,,2.0517840147064905e-06,
120,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_mic,3.2006110991886665e-06,,4.23635376149936e-06,,3.842190282364938e-06,,2.4639724759406693e-06,,2.479984529168434e-06,,2.3219159916543476e-06,
121,Bird_Aspen_DH37_mic_to_good_takamine_EG523SC_piezo,1.3641199474780201e-06,,1.3169197924085958e-06,,1.3958302916130445e-06,,1.4364202054021893e-06,,1.3645455372625776e-06,,1.6174961602441041e-06,
